[23-Jan-2026 11:53:46 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Paginas::$articuloModelo is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Paginas.php on line 9
[23-Jan-2026 11:55:14 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Paginas::$articuloModelo is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Paginas.php on line 9
[23-Jan-2026 11:55:15 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Paginas::$articuloModelo is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Paginas.php on line 9
[23-Jan-2026 11:55:23 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Articulos::$modelo is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Articulos.php on line 9
[23-Jan-2026 11:55:23 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Articulos::$vista is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Articulos.php on line 11
[23-Jan-2026 11:55:23 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Articulos::$datos is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Articulos.php on line 12
[23-Jan-2026 11:55:59 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Paginas::$articuloModelo is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Paginas.php on line 9
[23-Jan-2026 11:56:08 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Paginas::$articuloModelo is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Paginas.php on line 9
[23-Jan-2026 11:56:09 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Articulos::$modelo is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Articulos.php on line 9
[23-Jan-2026 11:56:09 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Articulos::$vista is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Articulos.php on line 11
[23-Jan-2026 11:56:09 Europe/Berlin] PHP Deprecated:  Creation of dynamic property Cls\Mvc2app\Articulos::$datos is deprecated in C:\xampp\htdocs\dwes\mvccomposer\app\controladores\Articulos.php on line 12
